participant,rows_train,rows_test,groups_train,groups_test,n_features,global_te_acc,global_te_bacc,global_te_f1,oob_global,global_params
3,340,600,34,60,376,0.5133333333333333,0.5037499999999999,0.5933147632311978,,{}
5,400,600,40,60,376,0.5816666666666667,0.4677777777777778,0.22291021671826625,,{}
6,400,600,40,60,376,0.5533333333333333,0.5533333333333332,0.564935064935065,,{}
8,400,600,40,60,376,0.56,0.5784511784511784,0.6094674556213018,,{}
9,400,600,40,60,376,0.5116666666666667,0.5260416666666667,0.31058823529411766,,{}
10,400,600,40,60,376,0.5216666666666666,0.45622710622710627,0.6469864698646987,,{}
12,400,600,40,60,376,0.5966666666666667,0.5611721611721612,0.43457943925233644,,{}
14,400,600,40,60,376,0.45666666666666667,0.47171717171717176,0.3940520446096654,,{}
15,400,600,40,60,376,0.4533333333333333,0.4730639730639731,0.5246376811594203,,{}
21,400,600,40,60,376,0.5816666666666667,0.5628205128205128,0.6603518267929634,,{}
22,400,600,40,60,376,0.515,0.5375,0.5125628140703518,,{}
