participant,rows_train,rows_test,groups_train,groups_test,n_features,te_acc,bacc,f1,best_local_params,best_local_cv_bacc
3,340,600,34,60,376,0.5133333333333333,0.5037499999999999,0.5933147632311978,"{""nb__var_smoothing"": 1e-12}",0.4420248457416089
5,400,600,40,60,376,0.5816666666666667,0.4677777777777778,0.22291021671826625,"{""nb__var_smoothing"": 1e-12}",0.3352183352183353
6,400,600,40,60,376,0.5533333333333333,0.5533333333333332,0.564935064935065,"{""nb__var_smoothing"": 1e-12}",0.4559929223671914
8,400,600,40,60,376,0.56,0.5784511784511784,0.6094674556213018,"{""nb__var_smoothing"": 1e-12}",0.4302960606625275
9,400,600,40,60,376,0.5116666666666667,0.5260416666666667,0.31058823529411766,"{""nb__var_smoothing"": 1e-12}",0.161346386476781
10,400,600,40,60,376,0.5216666666666666,0.45622710622710627,0.6469864698646987,"{""nb__var_smoothing"": 1e-12}",0.7679078277863436
12,400,600,40,60,376,0.5966666666666667,0.5611721611721612,0.43457943925233644,"{""nb__var_smoothing"": 1e-12}",0.4384778236477189
14,400,600,40,60,376,0.45666666666666667,0.47171717171717176,0.3940520446096654,"{""nb__var_smoothing"": 1e-12}",0.2774657553385998
15,400,600,40,60,376,0.4533333333333333,0.4730639730639731,0.5246376811594203,"{""nb__var_smoothing"": 1e-12}",0.5354382656277573
21,400,600,40,60,376,0.5816666666666667,0.5628205128205128,0.6603518267929634,"{""nb__var_smoothing"": 1e-12}",0.5884215536598781
22,400,600,40,60,376,0.515,0.5375,0.5125628140703518,"{""nb__var_smoothing"": 1e-12}",0.46879254930640196
