participant,rows_train,rows_test,groups_train,groups_test,n_features,global_te_acc,global_te_bacc,global_te_f1,oob_global,global_params
3,1340,600,134,60,376,0.3983333333333333,0.53,0.3973288814691152,,{}
4,1400,600,140,60,376,0.5583333333333333,0.5583333333333333,0.6900584795321637,,{}
5,1400,600,140,60,376,0.41,0.45875,0.40604026845637586,,{}
6,1400,600,140,60,376,0.6816666666666666,0.5281746031746032,0.2139917695473251,,{}
7,1400,600,140,60,376,0.5616666666666666,0.5281144781144781,0.6842737094837935,,{}
8,1400,600,140,60,376,0.595,0.5681818181818181,0.4,,{}
9,1400,600,140,60,376,0.5166666666666667,0.5328125,0.3907563025210084,,{}
10,1400,600,140,60,376,0.6383333333333333,0.6449494949494949,0.6377295492487479,,{}
12,1400,600,140,60,376,0.36,0.4015873015873016,0.3215547703180212,,{}
14,1400,600,140,60,376,0.4633333333333333,0.4801587301587302,0.3686274509803922,,{}
17,1400,600,140,60,376,0.5366666666666666,0.5366666666666666,0.6576354679802956,,{}
18,1320,600,132,60,376,0.535,0.5200778642936597,0.1308411214953271,,{}
19,1400,600,140,60,376,0.45,0.4425925925925926,0.13612565445026178,,{}
21,1400,600,140,60,376,0.54,0.54,0.31343283582089554,,{}
22,1400,600,140,60,376,0.4483333333333333,0.5034722222222222,0.33131313131313134,,{}
