participant,rows_train,rows_test,groups_train,groups_test,n_features,te_acc,bacc,f1,best_local_params,best_local_cv_bacc
3,1340,600,134,60,376,0.3983333333333333,0.53,0.3973288814691152,"{""nb__var_smoothing"": 1e-12}",0.3026504973377384
4,1400,600,140,60,376,0.5583333333333333,0.5583333333333333,0.6900584795321637,"{""nb__var_smoothing"": 1e-12}",0.6865496481805856
5,1400,600,140,60,376,0.41,0.45875,0.40604026845637586,"{""nb__var_smoothing"": 1e-12}",0.45691794131974633
6,1400,600,140,60,376,0.6816666666666666,0.5281746031746032,0.2139917695473251,"{""nb__var_smoothing"": 1e-12}",0.16809011031795687
7,1400,600,140,60,376,0.5616666666666666,0.5281144781144781,0.6842737094837935,"{""nb__var_smoothing"": 1e-12}",0.641839447048918
8,1400,600,140,60,376,0.595,0.5681818181818181,0.4,"{""nb__var_smoothing"": 1e-12}",0.4446751480267981
9,1400,600,140,60,376,0.5166666666666667,0.5328125,0.3907563025210084,"{""nb__var_smoothing"": 1e-12}",0.4718242880037537
10,1400,600,140,60,376,0.6383333333333333,0.6449494949494949,0.6377295492487479,"{""nb__var_smoothing"": 1e-12}",0.5851994993553266
12,1400,600,140,60,376,0.36,0.4015873015873016,0.3215547703180212,"{""nb__var_smoothing"": 1e-12}",0.40651606073012664
14,1400,600,140,60,376,0.4633333333333333,0.4801587301587302,0.3686274509803922,"{""nb__var_smoothing"": 1e-12}",0.43188226348534803
17,1400,600,140,60,376,0.5366666666666666,0.5366666666666666,0.6576354679802956,"{""nb__var_smoothing"": 1e-12}",0.6300741242177673
18,1320,600,132,60,376,0.535,0.5200778642936597,0.1308411214953271,"{""nb__var_smoothing"": 1e-12}",0.09274645538960662
19,1400,600,140,60,376,0.45,0.4425925925925926,0.13612565445026178,"{""nb__var_smoothing"": 1e-12}",0.2206749967225031
21,1400,600,140,60,376,0.54,0.54,0.31343283582089554,"{""nb__var_smoothing"": 1e-12}",0.3714684242343817
22,1400,600,140,60,376,0.4483333333333333,0.5034722222222222,0.33131313131313134,"{""nb__var_smoothing"": 1e-12}",0.33542926483261765
