participant,rows_train,rows_test,groups_train,groups_test,n_features,global_te_acc,global_te_bacc,global_te_f1_weighted,oob_global,global_params
3,1340,600,134,60,376,0.7066666666666667,0.5355555555555556,0.6753198492328927,0.7895522388059701,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 1000}"
4,1400,600,140,60,376,0.7166666666666667,0.7166666666666667,0.7158584417899804,0.74,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 1000}"
5,1400,600,140,60,376,0.6633333333333333,0.5275000000000001,0.5889122807017544,0.7078571428571429,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 1000}"
6,1400,600,140,60,376,0.7266666666666667,0.6333333333333333,0.7115601886902335,0.815,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 1000}"
7,1400,600,140,60,376,0.59,0.572053872053872,0.575951929754352,0.7014285714285714,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 1000}"
8,1400,600,140,60,376,0.68,0.6676767676767676,0.6743230625583567,0.7728571428571429,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 1000}"
9,1400,600,140,60,376,0.6216666666666667,0.6227678571428571,0.6220610103536933,0.71,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 1000}"
10,1400,600,140,60,376,0.68,0.672053872053872,0.6777616279069768,0.7621428571428571,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 1000}"
12,1400,600,140,60,376,0.68,0.5761904761904761,0.6614291354125543,0.7314285714285714,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 1000}"
14,1400,600,140,60,376,0.65,0.5325396825396825,0.6245515426931356,0.73,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 1000}"
17,1400,600,140,60,376,0.6866666666666666,0.6866666666666668,0.6846484165324745,0.7542857142857143,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 1000}"
18,1320,600,132,60,376,0.5883333333333334,0.5869299221357063,0.5876113145080412,0.7356060606060606,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 1000}"
19,1400,600,140,60,376,0.8966666666666666,0.5648148148148148,0.8726785714285715,0.9,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 1000}"
21,1400,600,140,60,376,0.6916666666666667,0.6916666666666667,0.6912884950731314,0.7421428571428571,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 1000}"
22,1400,600,140,60,376,0.625,0.5763888888888888,0.6005895944546252,0.7021428571428572,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 1000}"
