participant,rows_train,rows_test,groups_train,groups_test,n_features,te_acc,te_bacc,te_f1_weighted,best_local_params,best_local_cv_f1_weighted,oob_global
3,1340,600,134,60,376,0.7066666666666667,0.5355555555555556,0.6753198492328927,"{""rf__max_depth"": 12, ""rf__max_features"": ""sqrt"", ""rf__min_samples_leaf"": 4, ""rf__n_estimators"": 1000}",0.6874686966453648,0.7895522388059701
4,1400,600,140,60,376,0.7166666666666667,0.7166666666666667,0.7158584417899804,"{""rf__max_depth"": 16, ""rf__max_features"": ""sqrt"", ""rf__min_samples_leaf"": 2, ""rf__n_estimators"": 800}",0.6461192055712824,0.74
5,1400,600,140,60,376,0.6633333333333333,0.5275000000000001,0.5889122807017544,"{""rf__max_depth"": 12, ""rf__max_features"": ""sqrt"", ""rf__min_samples_leaf"": 2, ""rf__n_estimators"": 800}",0.5956473384803491,0.7078571428571429
6,1400,600,140,60,376,0.7266666666666667,0.6333333333333333,0.7115601886902335,"{""rf__max_depth"": 14, ""rf__max_features"": ""sqrt"", ""rf__min_samples_leaf"": 4, ""rf__n_estimators"": 1000}",0.7481304597377182,0.815
7,1400,600,140,60,376,0.59,0.572053872053872,0.575951929754352,"{""rf__max_depth"": 16, ""rf__max_features"": ""sqrt"", ""rf__min_samples_leaf"": 4, ""rf__n_estimators"": 800}",0.5947958756850872,0.7014285714285714
8,1400,600,140,60,376,0.68,0.6676767676767676,0.6743230625583567,"{""rf__max_depth"": 12, ""rf__max_features"": ""sqrt"", ""rf__min_samples_leaf"": 4, ""rf__n_estimators"": 800}",0.7054893633683208,0.7728571428571429
9,1400,600,140,60,376,0.6216666666666667,0.6227678571428571,0.6220610103536933,"{""rf__max_depth"": 16, ""rf__max_features"": ""sqrt"", ""rf__min_samples_leaf"": 4, ""rf__n_estimators"": 800}",0.619898123171191,0.71
10,1400,600,140,60,376,0.68,0.672053872053872,0.6777616279069768,"{""rf__max_depth"": 12, ""rf__max_features"": ""sqrt"", ""rf__min_samples_leaf"": 2, ""rf__n_estimators"": 800}",0.7234407948088301,0.7621428571428571
12,1400,600,140,60,376,0.68,0.5761904761904761,0.6614291354125543,"{""rf__max_depth"": 14, ""rf__max_features"": ""sqrt"", ""rf__min_samples_leaf"": 4, ""rf__n_estimators"": 500}",0.5949230482193842,0.7314285714285714
14,1400,600,140,60,376,0.65,0.5325396825396825,0.6245515426931356,"{""rf__max_depth"": 14, ""rf__max_features"": ""sqrt"", ""rf__min_samples_leaf"": 4, ""rf__n_estimators"": 1000}",0.6485551130873899,0.73
17,1400,600,140,60,376,0.6866666666666666,0.6866666666666668,0.6846484165324745,"{""rf__max_depth"": 12, ""rf__max_features"": ""sqrt"", ""rf__min_samples_leaf"": 2, ""rf__n_estimators"": 500}",0.6565293052510321,0.7542857142857143
18,1320,600,132,60,376,0.5883333333333334,0.5869299221357063,0.5876113145080412,"{""rf__max_depth"": 16, ""rf__max_features"": ""sqrt"", ""rf__min_samples_leaf"": 4, ""rf__n_estimators"": 800}",0.5749311739022022,0.7356060606060606
19,1400,600,140,60,376,0.8966666666666666,0.5648148148148148,0.8726785714285715,"{""rf__max_depth"": 16, ""rf__max_features"": ""sqrt"", ""rf__min_samples_leaf"": 2, ""rf__n_estimators"": 500}",0.8548192568739976,0.9
21,1400,600,140,60,376,0.6916666666666667,0.6916666666666667,0.6912884950731314,"{""rf__max_depth"": 12, ""rf__max_features"": ""sqrt"", ""rf__min_samples_leaf"": 4, ""rf__n_estimators"": 500}",0.6525141992456325,0.7421428571428571
22,1400,600,140,60,376,0.625,0.5763888888888888,0.6005895944546252,"{""rf__max_depth"": 12, ""rf__max_features"": ""sqrt"", ""rf__min_samples_leaf"": 2, ""rf__n_estimators"": 800}",0.5910243062757,0.7021428571428572
