participant,rows_train,rows_test,groups_train,groups_test,n_features,global_te_acc,global_te_bacc,global_te_f1,oob_global,global_params
3,340,600,34,60,376,0.5633333333333334,0.51125,0.6708542713567839,,"{""C"": 1, ""gamma"": ""scale"", ""kernel"": ""linear""}"
5,400,600,40,60,376,0.5566666666666666,0.4822222222222222,0.273224043715847,,"{""C"": 1, ""gamma"": ""scale"", ""kernel"": ""linear""}"
6,400,600,40,60,376,0.6166666666666667,0.6166666666666667,0.6114864864864865,,"{""C"": 1, ""gamma"": ""scale"", ""kernel"": ""linear""}"
8,400,600,40,60,376,0.5316666666666666,0.524074074074074,0.4627151051625239,,"{""C"": 1, ""gamma"": ""scale"", ""kernel"": ""linear""}"
9,400,600,40,60,376,0.6116666666666667,0.44791666666666663,0.15272727272727274,,"{""C"": 1, ""gamma"": ""scale"", ""kernel"": ""linear""}"
10,400,600,40,60,376,0.605,0.5631868131868132,0.6980891719745222,,"{""C"": 1, ""gamma"": ""scale"", ""kernel"": ""linear""}"
12,400,600,40,60,376,0.595,0.5686813186813187,0.45393258426966293,,"{""C"": 1, ""gamma"": ""scale"", ""kernel"": ""linear""}"
14,400,600,40,60,376,0.5483333333333333,0.5429292929292929,0.5924812030075188,,"{""C"": 1, ""gamma"": ""scale"", ""kernel"": ""linear""}"
15,400,600,40,60,376,0.555,0.5516835016835017,0.5118829981718465,,"{""C"": 1, ""gamma"": ""scale"", ""kernel"": ""linear""}"
21,400,600,40,60,376,0.53,0.543956043956044,0.5791044776119403,,"{""C"": 1, ""gamma"": ""scale"", ""kernel"": ""linear""}"
22,400,600,40,60,376,0.5733333333333334,0.5583333333333333,0.6404494382022472,,"{""C"": 1, ""gamma"": ""scale"", ""kernel"": ""linear""}"
