participant,rows_train,rows_test,groups_train,groups_test,n_features,global_te_acc,global_te_bacc,global_te_f1,oob_global,global_params
3,1340,600,134,60,376,0.5966666666666667,0.5977777777777777,0.4265402843601896,,"{""C"": 0.01, ""gamma"": ""scale"", ""kernel"": ""linear""}"
4,1400,600,140,60,376,0.6883333333333334,0.6883333333333334,0.711864406779661,,"{""C"": 0.01, ""gamma"": ""scale"", ""kernel"": ""linear""}"
5,1400,600,140,60,376,0.5633333333333334,0.5700000000000001,0.4738955823293173,,"{""C"": 0.01, ""gamma"": ""scale"", ""kernel"": ""linear""}"
6,1400,600,140,60,376,0.6516666666666666,0.6305555555555555,0.4988009592326139,,"{""C"": 0.01, ""gamma"": ""scale"", ""kernel"": ""linear""}"
7,1400,600,140,60,376,0.57,0.5686868686868687,0.5981308411214953,,"{""C"": 0.01, ""gamma"": ""scale"", ""kernel"": ""linear""}"
8,1400,600,140,60,376,0.6983333333333334,0.684006734006734,0.6173361522198731,,"{""C"": 0.01, ""gamma"": ""scale"", ""kernel"": ""linear""}"
9,1400,600,140,60,376,0.61,0.6098214285714285,0.6261980830670927,,"{""C"": 0.01, ""gamma"": ""scale"", ""kernel"": ""linear""}"
10,1400,600,140,60,376,0.67,0.6673400673400673,0.698170731707317,,"{""C"": 0.01, ""gamma"": ""scale"", ""kernel"": ""linear""}"
12,1400,600,140,60,376,0.58,0.6031746031746031,0.4857142857142857,,"{""C"": 0.01, ""gamma"": ""scale"", ""kernel"": ""linear""}"
14,1400,600,140,60,376,0.6166666666666667,0.6499999999999999,0.5344129554655871,,"{""C"": 0.01, ""gamma"": ""scale"", ""kernel"": ""linear""}"
17,1400,600,140,60,376,0.6416666666666667,0.6416666666666666,0.634974533106961,,"{""C"": 0.01, ""gamma"": ""scale"", ""kernel"": ""linear""}"
18,1320,600,132,60,376,0.5333333333333333,0.5342602892102336,0.5379537953795379,,"{""C"": 0.01, ""gamma"": ""scale"", ""kernel"": ""linear""}"
19,1400,600,140,60,376,0.6883333333333334,0.612037037037037,0.24899598393574296,,"{""C"": 0.01, ""gamma"": ""scale"", ""kernel"": ""linear""}"
21,1400,600,140,60,376,0.6416666666666667,0.6416666666666666,0.6362098138747885,,"{""C"": 0.01, ""gamma"": ""scale"", ""kernel"": ""linear""}"
22,1400,600,140,60,376,0.535,0.51875,0.6075949367088608,,"{""C"": 0.01, ""gamma"": ""scale"", ""kernel"": ""linear""}"
