participant,rows_train,rows_test,groups_train,groups_test,n_features,te_acc,bacc,f1,best_local_params,best_local_cv_bacc
3,1340,600,134,60,376,0.5966666666666667,0.5977777777777777,0.4265402843601896,"{""svc__C"": 0.001, ""svc__gamma"": ""scale"", ""svc__kernel"": ""linear""}",0.44017979352270714
4,1400,600,140,60,376,0.6883333333333334,0.6883333333333334,0.711864406779661,"{""svc__C"": 0.001, ""svc__gamma"": ""scale"", ""svc__kernel"": ""linear""}",0.6507163322459317
5,1400,600,140,60,376,0.5633333333333334,0.5700000000000001,0.4738955823293173,"{""svc__C"": 0.01, ""svc__gamma"": ""scale"", ""svc__kernel"": ""linear""}",0.46934945036389214
6,1400,600,140,60,376,0.6516666666666666,0.6305555555555555,0.4988009592326139,"{""svc__C"": 0.01, ""svc__gamma"": ""scale"", ""svc__kernel"": ""linear""}",0.5855844087308154
7,1400,600,140,60,376,0.57,0.5686868686868687,0.5981308411214953,"{""svc__C"": 0.01, ""svc__gamma"": ""scale"", ""svc__kernel"": ""linear""}",0.6442192479956194
8,1400,600,140,60,376,0.6983333333333334,0.684006734006734,0.6173361522198731,"{""svc__C"": 0.001, ""svc__gamma"": ""scale"", ""svc__kernel"": ""rbf""}",0.6205075969781851
9,1400,600,140,60,376,0.61,0.6098214285714285,0.6261980830670927,"{""svc__C"": 0.001, ""svc__gamma"": ""scale"", ""svc__kernel"": ""linear""}",0.6636651391704605
10,1400,600,140,60,376,0.67,0.6673400673400673,0.698170731707317,"{""svc__C"": 0.01, ""svc__gamma"": ""scale"", ""svc__kernel"": ""linear""}",0.7186864723965233
12,1400,600,140,60,376,0.58,0.6031746031746031,0.4857142857142857,"{""svc__C"": 0.001, ""svc__gamma"": ""scale"", ""svc__kernel"": ""rbf""}",0.4567218892047405
14,1400,600,140,60,376,0.6166666666666667,0.6499999999999999,0.5344129554655871,"{""svc__C"": 0.001, ""svc__gamma"": ""scale"", ""svc__kernel"": ""linear""}",0.5086672157916919
17,1400,600,140,60,376,0.6416666666666667,0.6416666666666666,0.634974533106961,"{""svc__C"": 0.01, ""svc__gamma"": ""scale"", ""svc__kernel"": ""linear""}",0.633314171415854
18,1320,600,132,60,376,0.5333333333333333,0.5342602892102336,0.5379537953795379,"{""svc__C"": 0.1, ""svc__gamma"": ""scale"", ""svc__kernel"": ""linear""}",0.6086017833958374
19,1400,600,140,60,376,0.6883333333333334,0.612037037037037,0.24899598393574296,"{""svc__C"": 1, ""svc__gamma"": ""scale"", ""svc__kernel"": ""rbf""}",0.32808522949268065
21,1400,600,140,60,376,0.6416666666666667,0.6416666666666666,0.6362098138747885,"{""svc__C"": 0.1, ""svc__gamma"": ""scale"", ""svc__kernel"": ""linear""}",0.7044400757466964
22,1400,600,140,60,376,0.535,0.51875,0.6075949367088608,"{""svc__C"": 1, ""svc__gamma"": ""scale"", ""svc__kernel"": ""linear""}",0.6005368824181236
