participant,rows_train,rows_test,groups_train,groups_test,n_features,global_te_acc,global_te_bacc,global_te_f1,oob_global,global_params
3,340,600,34,60,376,0.5833333333333334,0.46375,0.724669603524229,,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 1.0}"
5,400,600,40,60,376,0.6266666666666667,0.4577777777777778,0.13846153846153847,,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 1.0}"
6,400,600,40,60,376,0.7516666666666667,0.7516666666666667,0.7577235772357723,,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 1.0}"
8,400,600,40,60,376,0.65,0.6518518518518519,0.6328671328671329,,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 1.0}"
9,400,600,40,60,376,0.74,0.490625,0.10344827586206896,,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 1.0}"
10,400,600,40,60,376,0.625,0.5664835164835165,0.7252747252747253,,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 1.0}"
12,400,600,40,60,376,0.6166666666666667,0.5765567765567765,0.44711538461538464,,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 1.0}"
14,400,600,40,60,376,0.6083333333333333,0.6052188552188552,0.6412213740458015,,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 1.0}"
15,400,600,40,60,376,0.5466666666666666,0.535016835016835,0.4538152610441767,,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 1.0}"
21,400,600,40,60,376,0.6016666666666667,0.5617216117216117,0.6939820742637645,,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 1.0}"
22,400,600,40,60,376,0.6116666666666667,0.5756944444444444,0.7001287001287001,,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 1.0}"
