participant,rows_train,rows_test,groups_train,groups_test,n_features,te_acc,bacc,f1,best_local_params,best_local_cv_bacc
3,340,600,34,60,376,0.5833333333333334,0.46375,0.724669603524229,"{""xgb__learning_rate"": 0.01, ""xgb__max_depth"": 5, ""xgb__n_estimators"": 100, ""xgb__subsample"": 0.8}",0.7919989367357788
5,400,600,40,60,376,0.6266666666666667,0.4577777777777778,0.13846153846153847,"{""xgb__learning_rate"": 0.1, ""xgb__max_depth"": 3, ""xgb__n_estimators"": 200, ""xgb__subsample"": 1.0}",0.23261483455170687
6,400,600,40,60,376,0.7516666666666667,0.7516666666666667,0.7577235772357723,"{""xgb__learning_rate"": 0.01, ""xgb__max_depth"": 5, ""xgb__n_estimators"": 200, ""xgb__subsample"": 0.8}",0.6087510063895026
8,400,600,40,60,376,0.65,0.6518518518518519,0.6328671328671329,"{""xgb__learning_rate"": 0.1, ""xgb__max_depth"": 5, ""xgb__n_estimators"": 200, ""xgb__subsample"": 1.0}",0.39554033749797785
9,400,600,40,60,376,0.74,0.490625,0.10344827586206896,"{""xgb__learning_rate"": 0.1, ""xgb__max_depth"": 5, ""xgb__n_estimators"": 100, ""xgb__subsample"": 1.0}",0.013888888888888888
10,400,600,40,60,376,0.625,0.5664835164835165,0.7252747252747253,"{""xgb__learning_rate"": 0.01, ""xgb__max_depth"": 5, ""xgb__n_estimators"": 100, ""xgb__subsample"": 0.8}",0.7606859057687275
12,400,600,40,60,376,0.6166666666666667,0.5765567765567765,0.44711538461538464,"{""xgb__learning_rate"": 0.1, ""xgb__max_depth"": 5, ""xgb__n_estimators"": 200, ""xgb__subsample"": 0.8}",0.33983989136428155
14,400,600,40,60,376,0.6083333333333333,0.6052188552188552,0.6412213740458015,"{""xgb__learning_rate"": 0.01, ""xgb__max_depth"": 3, ""xgb__n_estimators"": 200, ""xgb__subsample"": 0.8}",0.7018778086740528
15,400,600,40,60,376,0.5466666666666666,0.535016835016835,0.4538152610441767,"{""xgb__learning_rate"": 0.1, ""xgb__max_depth"": 3, ""xgb__n_estimators"": 200, ""xgb__subsample"": 1.0}",0.3773084370782133
21,400,600,40,60,376,0.6016666666666667,0.5617216117216117,0.6939820742637645,"{""xgb__learning_rate"": 0.01, ""xgb__max_depth"": 3, ""xgb__n_estimators"": 100, ""xgb__subsample"": 0.8}",0.7640329551325121
22,400,600,40,60,376,0.6116666666666667,0.5756944444444444,0.7001287001287001,"{""xgb__learning_rate"": 0.01, ""xgb__max_depth"": 5, ""xgb__n_estimators"": 100, ""xgb__subsample"": 0.8}",0.6996342370496186
