participant,rows_train,rows_test,groups_train,groups_test,n_features,global_te_acc,global_te_bacc,global_te_f1,oob_global,global_params
3,1340,600,134,60,376,0.7166666666666667,0.5311111111111111,0.22018348623853212,,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}"
4,1400,600,140,60,376,0.675,0.675,0.6849757673667205,,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}"
5,1400,600,140,60,376,0.6266666666666667,0.525,0.28205128205128205,,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}"
6,1400,600,140,60,376,0.7183333333333334,0.6464285714285714,0.49851632047477745,,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}"
7,1400,600,140,60,376,0.605,0.5893939393939394,0.6748971193415638,,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}"
8,1400,600,140,60,376,0.6533333333333333,0.6441077441077441,0.5889328063241107,,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}"
9,1400,600,140,60,376,0.6283333333333333,0.6272321428571429,0.6488188976377953,,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}"
10,1400,600,140,60,376,0.6683333333333333,0.6607744107744107,0.7094890510948905,,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}"
12,1400,600,140,60,376,0.675,0.5503968253968254,0.30604982206405695,,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}"
14,1400,600,140,60,376,0.6783333333333333,0.5607142857142857,0.33217993079584773,,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}"
17,1400,600,140,60,376,0.685,0.685,0.6569872958257713,,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}"
18,1320,600,132,60,376,0.55,0.550166852057842,0.543918918918919,,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}"
19,1400,600,140,60,376,0.895,0.549074074074074,0.18181818181818182,,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}"
21,1400,600,140,60,376,0.69,0.69,0.6970684039087948,,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}"
22,1400,600,140,60,376,0.6216666666666667,0.5777777777777778,0.7166042446941323,,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}"
