participant,rows_train,rows_test,groups_train,groups_test,n_features,te_acc,bacc,f1,best_local_params,best_local_cv_bacc
3,1340,600,134,60,376,0.7166666666666667,0.5311111111111111,0.22018348623853212,"{""xgb__learning_rate"": 0.1, ""xgb__max_depth"": 3, ""xgb__n_estimators"": 200, ""xgb__subsample"": 1.0}",0.26621783411844646
4,1400,600,140,60,376,0.675,0.675,0.6849757673667205,"{""xgb__learning_rate"": 0.1, ""xgb__max_depth"": 5, ""xgb__n_estimators"": 100, ""xgb__subsample"": 0.8}",0.6647315102369117
5,1400,600,140,60,376,0.6266666666666667,0.525,0.28205128205128205,"{""xgb__learning_rate"": 0.1, ""xgb__max_depth"": 3, ""xgb__n_estimators"": 200, ""xgb__subsample"": 0.8}",0.30770607903507824
6,1400,600,140,60,376,0.7183333333333334,0.6464285714285714,0.49851632047477745,"{""xgb__learning_rate"": 0.1, ""xgb__max_depth"": 3, ""xgb__n_estimators"": 200, ""xgb__subsample"": 0.8}",0.545140894950883
7,1400,600,140,60,376,0.605,0.5893939393939394,0.6748971193415638,"{""xgb__learning_rate"": 0.01, ""xgb__max_depth"": 3, ""xgb__n_estimators"": 100, ""xgb__subsample"": 0.8}",0.6950261942384369
8,1400,600,140,60,376,0.6533333333333333,0.6441077441077441,0.5889328063241107,"{""xgb__learning_rate"": 0.1, ""xgb__max_depth"": 5, ""xgb__n_estimators"": 100, ""xgb__subsample"": 0.8}",0.6594081976105133
9,1400,600,140,60,376,0.6283333333333333,0.6272321428571429,0.6488188976377953,"{""xgb__learning_rate"": 0.01, ""xgb__max_depth"": 3, ""xgb__n_estimators"": 100, ""xgb__subsample"": 0.8}",0.6723427595580408
10,1400,600,140,60,376,0.6683333333333333,0.6607744107744107,0.7094890510948905,"{""xgb__learning_rate"": 0.01, ""xgb__max_depth"": 3, ""xgb__n_estimators"": 100, ""xgb__subsample"": 0.8}",0.7474885527204496
12,1400,600,140,60,376,0.675,0.5503968253968254,0.30604982206405695,"{""xgb__learning_rate"": 0.1, ""xgb__max_depth"": 3, ""xgb__n_estimators"": 200, ""xgb__subsample"": 0.8}",0.25568488484780494
14,1400,600,140,60,376,0.6783333333333333,0.5607142857142857,0.33217993079584773,"{""xgb__learning_rate"": 0.1, ""xgb__max_depth"": 3, ""xgb__n_estimators"": 100, ""xgb__subsample"": 0.8}",0.34649315840904626
17,1400,600,140,60,376,0.685,0.685,0.6569872958257713,"{""xgb__learning_rate"": 0.1, ""xgb__max_depth"": 3, ""xgb__n_estimators"": 200, ""xgb__subsample"": 1.0}",0.6579380015130458
18,1320,600,132,60,376,0.55,0.550166852057842,0.543918918918919,"{""xgb__learning_rate"": 0.1, ""xgb__max_depth"": 5, ""xgb__n_estimators"": 100, ""xgb__subsample"": 1.0}",0.5644557820954771
19,1400,600,140,60,376,0.895,0.549074074074074,0.18181818181818182,"{""xgb__learning_rate"": 0.1, ""xgb__max_depth"": 3, ""xgb__n_estimators"": 100, ""xgb__subsample"": 0.8}",0.05333707923221989
21,1400,600,140,60,376,0.69,0.69,0.6970684039087948,"{""xgb__learning_rate"": 0.1, ""xgb__max_depth"": 5, ""xgb__n_estimators"": 100, ""xgb__subsample"": 0.8}",0.6660316570476401
22,1400,600,140,60,376,0.6216666666666667,0.5777777777777778,0.7166042446941323,"{""xgb__learning_rate"": 0.01, ""xgb__max_depth"": 3, ""xgb__n_estimators"": 100, ""xgb__subsample"": 0.8}",0.7325088339530206
