feature,mean_importance
ch3-lowgamma-de,0.007649349634477843
ch3-lowgamma-psd,0.007566326637727638
ch9-lowgamma-hjact,0.007464035512040203
ch9-lowgamma-psd,0.007183663190913798
ch9-lowgamma-std,0.006518930465734011
ch9-lowgamma-peaktopeak,0.005978206845877839
ch7-lowgamma-hjact,0.005832279628471438
ch9-lowgamma-de,0.005652687364205052
ch11-lowgamma-hjcomp,0.005612871927681466
ch3-lowgamma-hjact,0.00538080209853591
ch12-lowgamma-de,0.005350779672666306
ch3-lowgamma-std,0.005300801608467761
ch7-lowgamma-std,0.005281687004697077
ch12-lowgamma-hjmob,0.005233473962516384
ch7-lowgamma-de,0.004891877408428464
ch14-lowgamma-kurt,0.00487310182123286
ch5-lowgamma-psd,0.004655925138753146
ch6-lowgamma-std,0.004466666458852531
ch7-lowgamma-kurt,0.004370551952566769
ch14-theta-skew,0.004352565513345796
ch6-lowgamma-psd,0.004246435284291831
ch12-alpha-relpow,0.004017656021608034
ch5-lowgamma-de,0.0039509000505189955
ch6-lowgamma-de,0.003916159973951594
ch3-lowgamma-hjmob,0.003847327848280296
ch4-alpha-relpow,0.0038342198675852595
ch7-lowgamma-psd,0.003561642387426492
ch13-lowgamma-hjact,0.0034424722401334745
ch19-lowgamma-kurt,0.0034160783109968853
ch13-alpha-skew,0.003388062137583389
ch3-lowgamma-kurt,0.003337834685844076
ch6-lowgamma-hjact,0.003020119578719865
ch13-lowgamma-std,0.002979766067571754
ch13-lowgamma-kurt,0.002978991127513739
ch13-theta-kurt,0.0028815811724386404
ch15-delta-skew,0.0028358296887066804
ch11-alpha-relpow,0.0027976651188729436
ch17-theta-kurt,0.0025972859606457383
ch2-delta-skew,0.002533531025726651
ch18-beta-hjcomp,0.002360195006224592
ch1-beta-hjcomp,0.0023373398426614128
ch1-sigma-kurt,0.0023128321676654413
ch13-theta-skew,0.002310628151101452
ch16-sigma-skew,0.0022928685028228844
ch8-lowgamma-std,0.0022498750145113237
ch16-theta-kurt,0.0022041512726064835
ch15-alpha-hjmob,0.0021869802750279542
ch8-theta-kurt,0.002185592904705921
ch6-lowgamma-hjmob,0.0021852977677425858
ch13-beta-skew,0.0021657151791343757
ch10-lowgamma-kurt,0.0021054555567508546
ch13-lowgamma-hjmob,0.00209586550795613
ch12-alpha-skew,0.002088744623723143
ch8-alpha-skew,0.002059963320851228
ch9-beta-hjact,0.002008202203181703
ch3-lowgamma-peaktopeak,0.0019433018654303098
ch8-alpha-hjcomp,0.0018926341828560988
ch3-beta-peaktopeak,0.001878812241063641
ch17-beta-peaktopeak,0.0018769872390163671
ch17-lowgamma-kurt,0.0018730669911726494
ch4-lowgamma-hjact,0.0018496054809692308
ch13-theta-relpow,0.001823010291477885
ch8-lowgamma-hjact,0.0017948691207889545
ch4-delta-kurt,0.0017895982934225255
ch12-theta-skew,0.0017730451669331758
ch17-sigma-kurt,0.0017672849911950271
ch1-theta-hjcomp,0.001713674296204302
ch16-lowgamma-de,0.0017077180553137575
ch12-theta-kurt,0.0016654907334800037
ch19-lowgamma-peaktopeak,0.0016250815932730269
ch19-lowgamma-std,0.0015234231674848531
ch17-beta-psd,0.0015227428116864647
ch7-sigma-skew,0.0014994786292601738
ch10-beta-psd,0.0014832820327788205
ch17-lowgamma-peaktopeak,0.0014673113516731813
ch16-lowgamma-hjcomp,0.001459648984743479
ch12-lowgamma-peaktopeak,0.0014578651240303804
ch10-beta-hjcomp,0.0014473854325723534
