,3,5,6,8,9,10,12,14,15,21,22,mean_importance,rank_global
ch3-lowgamma-std,0.69508505,0.003197376,0.008644145,0.30440074,0.066939086,0.13434392,0.43191433,0.29240718,0.21075109,0.03301471,0.14021732,0.21099228,1.0
ch9-lowgamma-std,0.0,0.07280404,0.016954545,0.75427526,0.0,0.11986689,0.01430288,0.042127695,0.16188024,0.52998775,0.25880748,0.17918244,2.0
ch19-lowgamma-std,0.29818195,0.0,0.91493076,0.01909094,0.0,0.0,0.017078632,0.0,0.046887275,0.08595122,0.563118,0.17683989,3.0
ch7-lowgamma-kurt,0.02367737,0.030566143,0.1367971,0.19301566,0.096795306,0.13848048,0.006745552,0.07314914,0.49590123,0.058259882,0.22387911,0.134297,4.0
ch13-lowgamma-hjact,0.0,0.0,0.039007224,0.053028446,0.018426133,0.22914495,0.4204267,0.07097126,0.0,0.0,0.54918,0.12547134,5.0
ch6-lowgamma-hjact,0.06423375,0.15878767,0.05172161,0.027856918,0.0,0.48398066,0.0,0.0,0.03127793,0.5436488,0.0,0.12377339,6.0
ch12-lowgamma-peaktopeak,0.006749731,0.007008909,0.8934442,0.023650188,0.0,0.00896048,0.01583755,0.17929247,0.041823216,0.0,0.14979635,0.12059665,7.0
ch17-lowgamma-std,0.026504854,0.011909444,0.0,0.0,0.111187786,0.073241584,0.0083658965,0.7333199,0.06969325,0.13185543,0.045057975,0.11010328,8.0
ch19-lowgamma-peaktopeak,0.007557246,0.049220573,0.9112559,0.0,0.0,0.1232657,0.0056803995,0.0,0.04789147,0.0,0.010330758,0.10501838,9.0
ch18-lowgamma-de,0.20126954,0.004292692,0.66072094,0.004942975,0.0059615416,0.010016951,0.0,0.023194754,0.0054570613,0.18912663,0.015914388,0.10189977,10.0
ch5-lowgamma-hjmob,0.0032228231,0.0,0.07118193,0.0,0.7207094,0.025039379,0.0,0.0063040243,0.013062049,0.0851886,0.19555193,0.10184184,11.0
ch10-lowgamma-hjmob,0.08615995,0.08298324,0.0,0.0036388102,0.2797926,0.020579182,0.010285107,0.51826847,0.015569296,0.0,0.093180776,0.10095067,12.0
ch9-lowgamma-peaktopeak,0.0,0.4822024,0.08771603,0.12750465,0.0,0.08112808,0.024766829,0.024203615,0.047641832,0.0007075659,0.21118246,0.09882304,13.0
ch4-lowgamma-std,0.0,0.0,0.0534871,0.002239835,0.014939416,0.67530555,0.034307875,0.06980591,0.042966224,0.15461697,0.025019573,0.09751713,14.0
ch15-lowgamma-hjmob,0.079963915,0.01687631,0.4366732,0.009918421,0.02510274,0.0,0.017580109,0.41622,0.0,0.0,0.0,0.09112132,15.0
ch3-lowgamma-de,0.34487268,0.0,0.012455232,0.31923845,0.21891314,0.019762142,0.012500423,0.003549136,0.0053785685,0.036796022,0.0,0.08849689,16.0
ch17-alpha-peaktopeak,0.0,0.0,0.032957677,0.0076076603,0.0,0.3131291,0.44188178,0.0,0.09756784,0.0,0.0055613043,0.08170049,17.0
ch2-lowgamma-skew,0.030796492,0.020245811,0.002816521,0.0048654703,0.0,0.017997963,0.1831662,0.4500267,0.06841169,0.03710263,0.04963761,0.078642465,18.0
ch8-lowgamma-hjcomp,0.011449128,0.1643656,0.049862042,0.05501405,0.27242208,0.01439563,0.2273437,0.0,0.054943204,0.007914609,0.005954653,0.07851496,19.0
ch12-lowgamma-hjmob,0.15353122,0.25384307,0.01927473,0.19113933,0.08141286,0.00604128,0.0,0.052350055,0.05128054,0.03244606,0.014774669,0.077826716,20.0
ch11-lowgamma-de,0.0,0.016545206,0.013884276,0.030069405,0.09412223,0.08539067,0.4846886,0.109952785,0.009652154,0.0,0.0,0.07675503,21.0
ch16-lowgamma-peaktopeak,0.0,0.0,0.01929861,0.041023273,0.020900467,0.008854242,0.33817995,0.19712159,0.0045519755,0.13698022,0.07080562,0.07615599,22.0
ch14-lowgamma-hjmob,0.0,0.032120783,0.40991396,0.018838301,0.00416308,0.0034520149,0.0,0.03725016,0.057079747,0.125136,0.112584434,0.07277623,23.0
ch7-theta-relpow,0.0,0.019294264,0.098074846,0.0918385,0.016885398,0.0054096575,0.014788542,0.05869374,0.08088167,0.36585125,0.0111663295,0.06935311,24.0
ch18-lowgamma-peaktopeak,0.0022904149,0.08945226,0.097961165,0.002201864,0.01734007,0.01130892,0.046833076,0.0,0.06161286,0.43378872,0.0,0.06934449,25.0
ch3-lowgamma-hjmob,0.1548649,0.026185669,0.028919678,0.17453946,0.067169726,0.09790873,0.07039484,0.06685106,0.0034989193,0.0,0.07139752,0.06924823,26.0
ch1-lowgamma-de,0.008941668,0.0,0.0057352814,0.01196714,0.11659663,0.19541124,0.0,0.0066940356,0.0,0.41400576,0.0023562,0.06924617,27.0
ch11-lowgamma-hjcomp,0.3691835,0.0,0.028860852,0.29153216,0.0,0.0,0.0,0.0,0.04113153,0.011373525,0.009884894,0.06836059,28.0
