feature,mean_importance
ch9-lowgamma-std,0.6062228
ch3-lowgamma-std,0.39703876
ch3-lowgamma-de,0.35296842
ch11-lowgamma-hjcomp,0.34303087
ch7-lowgamma-kurt,0.2536336
ch6-lowgamma-de,0.21743011
ch12-alpha-skew,0.20679767
ch13-theta-kurt,0.2031246
ch14-theta-skew,0.19367762
ch12-lowgamma-hjmob,0.19160283
ch7-lowgamma-hjact,0.1770441
ch17-sigma-kurt,0.17237419
ch9-lowgamma-peaktopeak,0.16152875
ch7-sigma-skew,0.15832563
ch11-alpha-relpow,0.1570977
ch5-sigma-skew,0.14723137
ch13-alpha-skew,0.13885187
ch5-lowgamma-de,0.1317315
ch19-lowgamma-kurt,0.13158968
ch6-lowgamma-hjmob,0.12955235
ch9-lowgamma-de,0.12608983
ch4-alpha-relpow,0.12293887
ch17-theta-kurt,0.11322943
ch15-alpha-hjmob,0.11144447
ch12-theta-skew,0.107176185
ch3-lowgamma-hjmob,0.10369187
ch5-sigma-kurt,0.10327244
ch15-delta-skew,0.09730704
ch16-sigma-skew,0.094286814
ch18-lowgamma-kurt,0.08546974
ch10-delta-skew,0.08427559
ch16-theta-kurt,0.08048304
ch10-beta-psd,0.07976464
ch8-alpha-skew,0.07826031
ch16-lowgamma-hjmob,0.07761442
ch19-beta-relpow,0.075268805
ch16-lowgamma-hjcomp,0.07244062
ch2-delta-skew,0.06876342
ch8-theta-kurt,0.06650718
ch12-beta-hjcomp,0.06540513
ch17-beta-peaktopeak,0.06366725
ch2-theta-kurt,0.06339548
ch2-lowgamma-peaktopeak,0.06288064
ch4-lowgamma-skew,0.06274009
ch13-alpha-hjmob,0.061725058
ch8-lowgamma-hjcomp,0.060010415
ch12-alpha-relpow,0.059791986
ch13-theta-relpow,0.056845512
ch13-lowgamma-kurt,0.053898048
ch7-lowgamma-skew,0.05226449
ch1-theta-kurt,0.051354762
ch12-lowgamma-de,0.0501639
ch1-alpha-kurt,0.05008795
ch8-alpha-hjcomp,0.049087062
ch12-theta-peaktopeak,0.048289012
ch7-theta-relpow,0.047948223
ch4-delta-kurt,0.047657296
ch18-lowgamma-hjmob,0.04701864
ch19-sigma-kurt,0.046028066
