feature,mean_importance
ch6-lowgamma-hjact,0.01405076534311429
ch6-lowgamma-std,0.013045368254936527
ch5-lowgamma-std,0.01214269687847966
ch5-lowgamma-hjact,0.011560736709781734
ch8-lowgamma-hjact,0.008830533926139233
ch8-lowgamma-std,0.007758854295635422
ch6-lowgamma-psd,0.0070612527917285695
ch7-lowgamma-hjact,0.00661386351868964
ch7-lowgamma-std,0.00647631780141848
ch9-lowgamma-hjact,0.006126326336808998
ch9-lowgamma-std,0.005677429261641035
ch8-lowgamma-peaktopeak,0.00551989173500426
ch6-lowgamma-de,0.005360499854077859
ch9-lowgamma-peaktopeak,0.0050226819235921335
ch5-lowgamma-psd,0.004798441361440555
ch5-lowgamma-peaktopeak,0.004774001946529179
ch5-lowgamma-de,0.0047681376945342665
ch7-lowgamma-peaktopeak,0.004704400878440912
ch8-lowgamma-psd,0.004638732820874017
ch13-lowgamma-hjact,0.0045521314109840715
ch13-lowgamma-std,0.004324862892254167
ch8-lowgamma-de,0.004212862529989983
ch6-lowgamma-peaktopeak,0.0038991588368065735
ch13-lowgamma-psd,0.00382075540999228
ch7-lowgamma-psd,0.0038135256947021143
ch13-lowgamma-de,0.0036605326888646504
ch7-lowgamma-de,0.0035090390718749923
ch18-lowgamma-peaktopeak,0.003382563973348213
ch1-lowgamma-std,0.003334573562944781
ch7-beta-peaktopeak,0.003265825329454407
ch1-lowgamma-hjact,0.0032655701720011145
ch7-beta-hjact,0.00312230518807876
ch9-lowgamma-de,0.0029662737693534518
ch2-lowgamma-hjact,0.0028864978281698695
ch13-lowgamma-peaktopeak,0.0028147909770096613
ch9-lowgamma-psd,0.002723183730922345
ch18-lowgamma-hjact,0.0024975111679818728
ch7-delta-peaktopeak,0.0023974729521950545
ch18-lowgamma-std,0.002388182901255167
ch18-lowgamma-de,0.002383232945820981
ch6-beta-peaktopeak,0.002347355303561282
ch12-lowgamma-hjact,0.0022580547437767184
ch6-delta-relpow,0.0022575772743379185
ch6-theta-relpow,0.0022530440237459592
ch7-sigma-peaktopeak,0.0021432684152406485
ch2-lowgamma-peaktopeak,0.002104813762093171
ch12-lowgamma-std,0.0020873014626586733
ch16-sigma-hjact,0.0020611511979601116
ch6-beta-hjact,0.0020601556244627646
ch6-alpha-relpow,0.0020551454350852135
ch8-sigma-hjact,0.002019888185397411
ch7-sigma-psd,0.0019597472642340313
ch7-alpha-psd,0.001944084383067018
ch8-sigma-psd,0.0019403611435540168
ch14-beta-psd,0.0019189258518272601
ch8-alpha-psd,0.0018843039772708861
ch8-alpha-hjact,0.001878160588361922
ch1-lowgamma-psd,0.0018600007552544032
ch16-alpha-peaktopeak,0.0018474251313970729
ch16-alpha-std,0.0018264719505991767
ch16-sigma-psd,0.0018083622412447852
ch18-lowgamma-psd,0.001794852198670482
ch14-beta-hjact,0.0017506559715152893
ch7-delta-hjact,0.0016685441128660224
ch2-lowgamma-std,0.0016618802735456205
ch15-alpha-hjact,0.0016390801460203807
ch7-beta-psd,0.0015969558631380954
ch14-lowgamma-peaktopeak,0.0015943283982188688
ch8-sigma-peaktopeak,0.0015699835070159553
ch10-lowgamma-peaktopeak,0.0015592968110762226
ch5-alpha-psd,0.0015564241593395407
ch4-lowgamma-psd,0.0015391826071887672
ch2-alpha-relpow,0.0015268621524173096
ch2-delta-relpow,0.0014968835927715951
ch16-delta-psd,0.0014800502371778805
ch16-delta-peaktopeak,0.001468620568739834
ch14-lowgamma-kurt,0.0014670263132457557
ch7-theta-hjact,0.001442613426878456
ch14-lowgamma-std,0.0014200665903880074
ch1-lowgamma-de,0.0014198683772016375
ch14-beta-peaktopeak,0.0013959848881142376
ch6-beta-psd,0.0013680163451483495
ch4-lowgamma-de,0.0013506234755887002
ch14-lowgamma-hjact,0.001345230122189505
ch5-alpha-hjact,0.001345180940307191
ch16-alpha-psd,0.0013444412630301827
ch19-alpha-relpow,0.0013132534112754403
ch2-lowgamma-de,0.0012935334034645043
ch2-alpha-hjmob,0.0012783490174347258
ch16-alpha-hjact,0.00127750265367908
ch12-lowgamma-psd,0.0012573218638501234
ch19-lowgamma-std,0.0012302298305294107
ch7-delta-psd,0.0012300502138636068
